Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
75,6.4,2.9,4.3,1.3
126,7.2,3.2,6.0,1.8
44,5.0,3.5,1.6,0.6
106,7.6,3.0,6.6,2.1
86,6.0,3.4,4.5,1.6
77,6.8,2.8,4.8,1.4
127,6.2,2.8,4.8,1.8
99,5.1,2.5,3.0,1.1
100,5.7,2.8,4.1,1.3
102,5.8,2.7,5.1,1.9
104,6.3,2.9,5.6,1.8
74,6.1,2.8,4.7,1.2
72,6.1,2.8,4.0,1.3
112,6.4,2.7,5.3,1.9
137,6.3,3.4,5.6,2.4
138,6.4,3.1,5.5,1.8
80,5.7,2.6,3.5,1.0
3,4.7,3.2,1.3,0.2
116,6.4,3.2,5.3,2.3
65,5.6,2.9,3.6,1.3
125,6.7,3.3,5.7,2.1
82,5.5,2.4,3.7,1.0
23,4.6,3.6,1.0,0.2
140,6.9,3.1,5.4,2.1
24,5.1,3.3,1.7,0.5
121,6.9,3.2,5.7,2.3
57,6.3,3.3,4.7,1.6
71,5.9,3.2,4.8,1.8
62,5.9,3.0,4.2,1.5
27,5.0,3.4,1.6,0.4
42,4.5,2.3,1.3,0.3
145,6.7,3.3,5.7,2.5
22,5.1,3.7,1.5,0.4
123,7.7,2.8,6.7,2.0
90,5.5,2.5,4.0,1.3
4,4.6,3.1,1.5,0.2
114,5.7,2.5,5.0,2.0
95,5.6,2.7,4.2,1.3
93,5.8,2.6,4.0,1.2
20,5.1,3.8,1.5,0.3
15,5.8,4.0,1.2,0.2
147,6.3,2.5,5.0,1.9
150,5.9,3.0,5.1,1.8
11,5.4,3.7,1.5,0.2
10,4.9,3.1,1.5,0.1
16,5.7,4.05,1.5,0.4
135,6.1,2.6,5.6,1.4
97,5.7,2.9,4.2,1.3
110,7.2,3.6,6.1,2.5
101,6.3,3.3,6.0,2.5
54,5.5,2.3,4.0,1.3
103,7.1,3.0,5.9,2.1
76,6.6,3.0,4.4,1.4
19,5.7,3.8,1.7,0.3
53,6.9,3.1,4.9,1.5
85,5.4,3.0,4.5,1.5
2,4.9,3.0,1.4,0.2
148,6.5,3.0,5.2,2.0
18,5.1,3.5,1.4,0.3
52,6.4,3.2,4.5,1.5
31,4.8,3.1,1.6,0.2
26,5.0,3.0,1.6,0.2
49,5.3,3.7,1.5,0.2
109,6.7,2.5,5.8,1.8
58,4.9,2.4,3.3,1.0
124,6.3,2.7,4.9,1.8
141,6.7,3.1,5.6,2.4
70,5.6,2.5,3.9,1.1
56,5.7,2.8,4.5,1.3
96,5.7,3.0,4.2,1.2
107,4.9,2.5,4.5,1.7
48,4.6,3.2,1.4,0.2
98,6.2,2.9,4.3,1.3
